Name,Year,Event,Image,Image caption,Display Year (if different)
Shima Ryū,1855,Marries Shima Kakoku,,,
Shima Ryū,1864,"Creates the wet-plate collodion print, <i>Portrait of Shima Kakoku</i>",,,
Shima Ryū,1870,Opens a short-lived photo studio in Kiryū after Kakoku's death,,,
Yamazawa Eiko,1918,Graduates from the Private Women's School of Fine Arts in Tokyo with a degree in <i>nihonga </i>(Japanese-style painting),,,
Yamazawa Eiko,1926,"Travels to the US, studies at the California School of Fine Arts, and begins to work as Consuelo Kanaga's studio assistant in San Francisco",,,
Yamazawa Eiko,1931,Opens her first photographic portrait studio in Osaka,,,
Yamazawa Eiko,1945,Her studio is destroyed by an air raid,,,
Yamazawa Eiko,1946,Begins working as a studio photographer at the US Army Post Exchange in Kyoto,,,
Yamazawa Eiko,1950,Founds the Yamazawa Photography Research Institute at the Hamachi Hospital Annex to educate young photographers,,,
Yamazawa Eiko,1952,Opens the Yamazawa Commercial Photography Studio at the Sogo Department Store in Osaka,,,
Yamazawa Eiko,1953,Publishes 探求<i> </i>(Quest),,,
Yamazawa Eiko,1955,"Visits Kanaga and stays for half a year in New Year, where she meets Imogen Cunningham",,,
Yamazawa Eiko,1960,Closes the Yamazawa Commercial Photography Studio,,,
Yamazawa Eiko,1962,Publishes 遠近<i> </i>(Far and Near),,,
Yamazawa Eiko,1965,Travels for half the year in Europe and the US,,,
Yamazawa Eiko,1974,Travels to Mexico and the US,,,
Yamazawa Eiko,1976,Publishes 私の原題 (What I'm Doing),,,
Yamazawa Eiko,1977,Receives the Photographic Society of Japan Distinguished Contributions Award,,,
Yamazawa Eiko,1980,Receives the Kobe City Cultural Prize,,,
Yamazawa Eiko,1982,<i> </i>(What I'm Doing: Positions and Directions),,,
Yamazawa Eiko,1983,Publishes 私は女流写真家 (I Am a Woman Photographer),,,
Yamazawa Eiko,1986,Publishes 私の原題３<i> </i>(What I'm Doing 3),,,
Yamazawa Eiko,1994,Holds retrospective exhibition at the Itami City Museum of Art,,,
Saeki Toshiko,1958,Begins taking photographs of bird with her child's camera,,,
Saeki Toshiko,1962,Publishes 庭にくる鳥―佐伯敏子写真集 (Birds As Our Guests in the Garden: Saeki Toshiko Photobook),,,
Saeki Toshiko,1966,Publishes Volume 2 of 庭にくる鳥 (Birds As Our Guests in the Garden),,,
Saeki Toshiko,1976,Publishes Volume 3 of 庭にくる鳥 (Birds As Our Guests in the Garden),,,
Saiki Sachiko,1935,Graduates from the Oriental Photography School in Tokyo and begins working at the photo studio at the Sogō Department Store in Osaka,,,
Saiki Sachiko,1941,Receives Honorable Mention for Photography in the Kokuten,,,
Saiki Sachiko,1946,Begins operating photo studios at the US Army Post Exchanges in Kyoto and Ōtsu,,,
Saiki Sachiko,1958,"At the request of fashion designer Fujikawa Nobuko, she takes over the photography for the magazine <i>Mode Techo</i>, published by Kyoto University of Art and Design",,,
Saiki Sachiko,1959,Opens Saiki Sachiko Photo Studio in Kyoto,,,
Saiki Sachiko,1963,First trip photographing abroad,,,
Saiki Sachiko,1964,"Begins photographing extensively in Southeast Asia, especially Hong Kong and Thailand",,,
Saiki Sachiko,1968,"Begins coverage of countries along the Silk Road, such as Afghanistan, Iran, China, and the former Soviet Union",,,
Saiki Sachiko,1976,Publishes シルクロード―人と出逢う旅 (Silk Road: A Journey of Human Encounters),,,
Saiki Sachiko,1978,Publishes シルクロード百科 (An Encyclopedia of the Silk Road),,,
Saiki Sachiko,1981,Appointed head juror for the Photography Department's Documentary Division of the Kokuten; Publishes 遊牧民旅情―砂漠の華 (The Nomad's Journey: Desert Flowers),,,
Sasamoto Tsuneko,1940,Joins the Photographic Society of Japan at the invitation of Hayashi Kenichi,,,
Sasamoto Tsuneko,1945,Begins working for the local newspaper Chiba Shimbun,,,
Sasamoto Tsuneko,1946,Begins working for the the Fujin Minshu Shimbun newspaper in Tokyo,,,
Sasamoto Tsuneko,1948,Embarks on a freelance career as a photojournalist,,,
Sasamoto Tsuneko,1988,Publishes a book of portraiture ふだん着の肖像 : 昭和 20-30年代を彩った 100人 (Portraits in Everyday Wears: 100 People Who Enlivened the Shōwa Decades),,,
Sasamoto Tsuneko,1989,Publishes ライカでショット！お嬢さんカメラマンの昭和スナップ (Nice Shot! A Young Female Cameraman's Snapshots of the Shōwa Era),,,
Sasamoto Tsuneko,1997,Wins the Tokyo Women's Foundation Award,,,
Sasamoto Tsuneko,2001,Wins the 16th Diamond Lady Award,,,
Sasamoto Tsuneko,2011,Wins the 45th Yoshikawa Eiji Culture Award and an award for distinguished service from the Photographic Society of Japan,,,
Sasamoto Tsuneko,2016,Wins the Lucie Award for Lifetime Achievement; the Japan Professional Photographers' Society establishes the Sasamoto Tsuneko Photography Award,,,
Sasamoto Tsuneko,2018,Honoured with the title Tōkyō-to meiyotomin,,,
Matsuyama Tazuko,1977,Acquires a Pikkari Konica camera and begins documenting her hometown in Gifu Prefecture as plans for the Tokuyama Dam get underway,,,
Matsuyama Tazuko,1983,Publishes 故郷―私の徳山村写真日記 (Hometown: Photo Diary of My Tokuyama) (Jakometei shuppan),,,
Matsuyama Tazuko,1987,Moves to Gifu City when her village is condemned; Publishes ありがとう徳山村―増山たづ子写真集 (Thank You Tokuyama Village: Matsuyama Tazuko Photobook)<i> </i>(Kageshobō),,,
Matsuyama Tazuko,1984,Recipient of the AVON Award for Women,,,
Matsuyama Tazuko,1988,Publishes 増山たづ子―徳山村写真全記録 (Matsuyama Tazuko: A Complete Photo Record of Tokuyama Village)<i> </i>(Kageshobō),,,
Kiyooka Sumiko,1965,Travels to Tokyo from her hometown of Kyoto and begins work as a freelance photographer,,,
Kiyooka Sumiko,1967,Publishes the small photobook 尼寺 (Convent) (Mainichi Shinbunsha),,,
Kiyooka Sumiko,1968,Publishes the nonfiction book 女と女：レずビアンの世界 (Women with Women: The World of Lesbians) (Naniwa shobō),,,
Kiyooka Sumiko,1969,Publishes the nonfiction book on lesbian life 告白 (Confession) (Surugadai shobō),,,
Kiyooka Sumiko,1970,Publishes the photobook ナツコとシルビア (Natsuko and Silvia) (Futabasha); Publishes the work of fiction 昭栄尼抄 (Extracts of a Shōei Nun) (Bunkasha),,,
Kiyooka Sumiko,1971,Publishes the nonfiction book レズビアンラブの入門 (Introduction to Lesbian Love) (Ikeda I.P.B.),,,
Kiyooka Sumiko,1972,Recieves an award at the World Photography Exhibition; Publishes the nonfiction book <i>How to Les</i>,,,
Kiyooka Sumiko,1973,"Publishes the nonfiction book セルフ・ラブ (Self Love) (Tatsumi Publishing Co.), the fictional photobook 禁断の魔女 (Forbidden Witches) (Tatsumi Publishing Co.), and the work of fiction 日蓮女優 (Nichiren Actress) (Bunkasha)",,,
Kiyooka Sumiko,1977,Publishes 聖少女 (Holy Girl) (Fuji Art),,,
Kiyooka Sumiko,1983,"Publishes the controversial book of ""Lolita"" photography 私は「まゆ」13歳 (I'm Mayu, 13 Years Old) (Fuji Art)",,,
Okanoue Toshiko,1952,"After graduating from the Design Department of the Bunka Gakuin College in Tokyo, Okanoue meets leading Japanese Surrealist Takiguchi Shuzo and begins to make photocollages heavily influenced by surrealist aesthetics and the Japanese collage technique of chigiri-e",,,
Okanoue Toshiko,1953,"Holds the solo exhibition「岡上淑子コラージュ展」(Okanoue Toshiko Collage Exhibition) at Takemiya Gallery in Tokyo; Participates in the group exhibition 「抽象と幻想ー非写実絵画をどう理解するか」(Abstraction and Surrealism: How to Understand Them?) at the National Museum of Modern Art, Tokyo",,,
Okanoue Toshiko,1956,Holds the solo exhibition「岡上淑子コラージュ展」(Okanoue Toshiko Collage Exhibition) at Takemiya Gallery in Tokyo,,,
Okanoue Toshiko,1957,Marries the painter Kazutomo Fujino and stops making art professionally,,,
Okanoue Toshiko,1959,Her work is included in the American Photography Handbook,,,
Okanoue Toshiko,1996,Work is included in the exhibition 1953年ライトアップー新しい戦後美術像が見えてきた (Shedding Light on Art in Japan 1953) at the Meguro Museum of Art in Tokyo,,,
Okanoue Toshiko,2000,"Holds the solo exhibition「岡上淑子フォト・コラージュ-夢のしずく/ゲストキュレーター金子隆一」 (Okanoue Toshiko Photo-Collage: Droplets of Dreams) at The Dai-ichi Mutual Life Insurance, Co. South Gallery in Tokyo",,,
Tokiwa Toyoko,1951,"Graduates from Tokyo Kasei Gakuin; Joins the amateur women's photography club, the Shirayuri (White Lily) Camera Club",,,
Tokiwa Toyoko,1956,"Holds first solo exhibition, 働く女性 (Working Women), at the Konishiroku Photo Gallery in Tokyo, featuring realist documentary photographs of professional women wrestlers, models, nurses, and sex workers",,,
