Year,Event,Citation
1853,"Commodore Matthew Perry's ""black ships"" arrive off the coast of Japan, landing in Edo Bay",
1854,"Commodore Perry negotiates the Kanagawa Treaty upon his first return to Japan, establishing formal relationships between Japan and the United States and effectively ending two centuries of Japan's international isolation",
1856,"The Harris Treaty is signed, opening eight Japanese ports to trade with America",
1867,"Emperor Kōmei dies, ending the Edo period, and Emperor Meiji ascends the throne",
1868,"Following the Boshin War, the Tokugawa Shogunate ends and the Meiji era's Restoration officially begins in September",
1898,The city of Edo is formally renamed Tokyo (Eastern Capital),
1870,"All commoners are allowed to take surnames, previously only afforded to the upper classes of society",
1871,"The Emancipation Edict takes effect, abolishing certain outcast castes, and allowing for marriage between previously distinct classes",
1871,"The Iwakura Mission undertakes an 18-month visit of the United States and Europe. The diplomatic mission includes five female students, who remain abroad for several more years following the conclusion of the official visit.","Nish, Ian. <i>The Iwakura Mission to America and Europe: A New Assessment</i>. (Japan Library/Curzon Press: 1998)."
1872,Universal compulsory education is instated following the establishment of the Meiji government's Education Ordinance,"Duke, Benjamin. (New Brunswick: Rutgers University Press, 2009)"
1872,Railway service begins between Tokyo and Yokohama,
1873,"New imperial reforms mark the beginning of universal conscription for military service, the abolishment of the daimyō land ownership system, the allowance of foreign-Japanese marriages, and the ability of women to sue their husbands for divorce",
1874,"Japan sends 3,000 troops to Taiwan in response to a skirmish in the Ryukyu Islands, a territory claimed by both China and Japan, an action that signals Japan's interest in expanding its territory",
1876,"Japan-Korea Treaty of 1876 is signed, severing more traditional relationships between Korea and China, establishing extraterritorial rights to Japanese citizens in Korea, and opening three major Korean ports to Japanese trade",
1877,"The Satsuma Rebellion occurs when samurai Saigō Takamori leads a force of 80,000 in revolt agains the Meiji government. The uprising is defeated after nine months of fighting, effectively ending any remaining political and military power claimed by the samurai class",
1877,Tokyo University is established,
1879,"A cholera epidemic kills over 100,000 across the country",
1881,"Plans for the 1890 National Assembly are announved, the two major national political parties (the Liberal Party and the Constitutional Progressive Party) are founded",
1882,Shinto becomes the official state religion of Japan,
1883,"The Rokumeikan, a Western-style social hall, opens in Tokyo",
1885,Itō Hirobumi is named Japan's first Prime Minister,
1886,"Japan's first organized strike occurs when approximately 100 factory girls walk out of the Amamiya Silk Reeling Company in Kofu, Yamanashi Prefecture on June 14th. Two days later, the workers returned to their jobs after management agreed to address grievances concerning reduction of wages, the length of the workday, and other freedoms and rights.","Marsland, Stephen E. <i>The Birth of the Japanese Labor Movement. Takano Fusataro and the Rodo Kumiai Kiseikai. (</i>Honolulu: University of Hawaii Press, 1989)"
1890,"The Meiji Constitution is adopted, officially making Japan a monarchy with an underlying representative democracy, and the first Diet is convened",
1890,The Edo-period ban on men and women performing together on stage is lifted,
1890,"Imperial Rescript on Education is issued, promoting the traditions of Confucianism and establishing a moral foundation for citizenry in education based on loyalty to the emperor and filial piety",
1894,The beginning of the first Sino-Japanese war,"Paine, S.C.M. <i>The Sino-Japanese War of 1894–1895: Perceptions, Power, and Primacy. </i>(Cambridge: Cambridge University Press, 2003.)"
1895,"Sino-Japanese war ends with the signing of the Shimonoseki Treaty, Korea is declared ""independent"" from Chinese control, and China cedes multiple other territories to Japan",
1898,"Implementation of the Meiji Civil Code. Among other laws, it codifies exclusive rights to husbands/fathers with regards to divorce, marriage, and inheritance of family assets.","Lönholm, Ludwig, trans. ""The Civil Code of Japan"" (1898). Civil Codes (1800-1923), pg 9. https://ecollections.law.fiu.edu/civil_codes/9"
1900,"The Public Peace Police Law is passed by the Japanese Diet. Along with forbidding certain forms of political expression or activities by Japanese citizens, Article Five of the law makes it illegal for women to attend or be involved with most political meetings, associations, or protests, and forbids women from holding political office","Mackie, Vera. ""Picturing political space in 1920s and 1930s Japan."" In Sandra Wilson, ed. <i>Nation and Nationalism in Japan</i> (New York: Routledge, 2002), 41."
1904,The Russo-Japanese war begins over Russian claims to Korea and other disputed territories,
1905,"Japan defeats Russia at the battle of Tsushima, ending the Russo-Japanese war and the resulting Treaty of Portsmouth turns Korea into a Japanese protectorate",
1906,Japan establishes the first Office of the Resident General in Korea,
1909,Itō Hirobumi is assassinated in Manchuria,
1910,Japan-Korea Treaty of 1910 fully annexes Korea under Japanese control,
1911,"The first issue of <i>Seito</i> (Bluestockings), a literature magazine published for and by women, is published","Bardsley, Jan. <i>The Bluestockings of Japan: New Woman Essays and Fiction from Seitō, 1911-16. </i>(Ann Arbor, MI: Michigan Monograph Series in Japanese Studies, 2007.)"
1912,"Emperor Meiji dies in July, heralding the beginning of the Taisho era with the ascension of Meiji's son, Yoshihito, to the throne",
1914,"Japan enters World War I under the auspices of pre-existing Anglo-Japanese alliances, and makes incursions against German-controlled areas of China",
1919,Korean indepedence movement takes root in Japanese-controlled Korea,
1920,"Ichikawa Fusae, Oku Mumeo, and Hiratsuka Raichō found the first women's rights organization in Japan, the New Women Association (新婦人協会, <i>Shin-fujin kyokai</i>)",Emma Lewis 16 (full citation TK)
1921,"The Red Wave Society (赤瀾会, <i>Sekirankai</i>), Japan's first socialist women's association, is founded by Yamakawa Kikue",
1922,The Communist Party of Japan (<i>Nihon kyōsantō</i>) is founded secretly in Tokyo,
1923,"The Great Kantō Earthquake hits the main Japanese island of Honshū on September 1. Measuring 7.9 on the modern Richter scale, the quake caused massive damage, fires, and killed over 140,000 people in Tokyo, Yokohama, and other major ports and cities in the Kantō plain area. The disaster was followed by three days of civil unrest in which lynch mobs murdered an estimated 6,000 ethnic Korean and Chinese nationals.","Weisenfeld, Gennifer. <i>Imaging Disaster: Tokyo and the Visual Culture of Japan’s Great Earthquake of 1923.</i> (Berkeley: University of California Press, 2012)"
1926,"Emperor Taishō dies, and his son Hirohito ascends the throne, marking the beginning of the Shōwa era",
1927,Subway between Ueno and Asakusa opens in Tokyo,
1928,"More than 1,500 Japanese citizens are arrested in a crackdown on socialists and communists known as the March 15th Incident",
1931,"Following a staged attack on Japanese railways in Manchuria (The Manchurian Incident), Japan invades holdout regions of the region, including Mukden and Southern Manchuria",
1932,Japan establishes the puppet state of Manchukuo in occupied Manchuria,
1932,Prime Minister Inukai Tsuyoshi is assassinated during the May 15 attemped coup against the government by a radical wing of the Japanese Navy,
1933,Japan withdraws from the League of Nations,
1936,Japan signs a mutual defense pact with Germany,
1937,"In an attack now known as the Rape of Nanjing or the Nanjing Massacre, Japanese troops invading the Chinese city of Nanjing commit mass murder and systematic rape of civilians",
1938,"Prime Minister Konoe Fumimaro introduces the National Mobilization Law, which established major government control over prices, rationing, media, militarily strategic industries, labor, and production",
1940,"All political parties are essentially dissolved via Prime Minister Konoe's Imperial Rule Assistance Association, hardening Japan's trajectory toward totalitarian state rule",
1940,"Japan declares its intention to create the ""Greater East Asia Co-Prosperity Sphere,"" and joins a formal military alliance with the Axis Powers of Europe",
1941,Japan completes the invasion and occupation of French Indochina,
1941,Konoe Fumimaro is replaced by General Tōjō Hideki as Prime Minister,
1941,"On December 6th, Japan bombs the port of Pearl Harbor in Hawaii, USA, setting off the Pacific Front of World War II",
1945,"Tokyo is firebombed by Allied forces, killing over 100,000",
1945,"The American military bombs the cities of Hiroshima and Nagasaki using nuclear weapons, on August 6 and August 8",
1945,"The Emperor announces Japan's surrender, and America and Japan sign the peace treaty, ending World War II as US General Douglas MacArthur arrives in Tokyo to oversee the occupation as the Supreme Commander of Allied Powers (SCAP)",
1945,Japanese women win the right to vote,
1946,"The first of the International Military Tribunals for the Far East, also known as the Tokyo War Crimes Trials, begin",
1947,"Japanese women attain equal rights of citizenship to men under the law, with the 1946 writing and adoption of the new postwar constitution",
1951,"The International Peace Treaty is signed by 48 nations in San Francisco, formally ending the Second World War for Japan",
1952,The US Occupation of Japan officially comes to an end,
1954,Japan's Self Defense Force (SDF) is established,
1956,Japan joins the United Nations,
1959,Protests begin (primarily among Japanese students) against the upcoming revision of the US-Japan Security Treaty,
1960,"US-Japan Security Treaty (ANPO) Protests continue and strengthen, with violent crackdowns occuring against student and civilian protestors. Despite the unrest, the revised treaty is adopted in June of 1960.",
1964,The International Monetary Fund recognizes Japan as one of the world's top eight leading economic powers,
1964,The Summer Olympics are held in Tokyo,
1964,Bullet Train (<i>Shinkansen</i>) high-speed rail service begins along the Tōkaidō line,
1968,"Massive student protests against the Vietnam War and rising tuition fees, culminating in the 1969 occupation of the Yasuda lecture hall at the University of Tokyo",
1970,The World Exhibition (EXPO) is held in Osaka,
1970,"A rise in extremist politics is marked by the Japanese Red Army Faction's hijacking of a commerical airplane, and the attempted military-style coup and subsequent ritual suicide by the radical right-wing writer Mishima Yukio",
1970,"Hundreds of women march in the streets of Tokyo, calling for increased rights and reforms for women, marking the beginning of the postwar feminist movement, generally known as <i>ūman libu</i> (women's lib)",
1974,"Feminist groups and disability activists clash and then eventually collaborate on the successful opposition to proposed revisions to the 1948 Eugenic Protection Law, which effectively but controversially allowed legal abortion in Japan","Matsui, Machiko. “Evolution of the Feminist Movement in Japan.” NWSA Journal 2, no. 3 (1990): 435-49."
1986,"The Equal Employment Opportunity Law takes effect, prohibiting gender discrimination in the workplace",
1989,"Emperor Hirohito dies, ending the Shōwa era and marking the beginning of the Heisei era with the enthronment of his son Akihito",
1991,"Japan's economic ""bubble"" bursts, causing the Nikkei stock index to plummet and beginning a decade-long period of economic stagnation",
1995,"The Kobe earthquake kills 6,500 people",
1995,"Members of the Aum Shinrikyo cult commit an act of domestic terrorism, releasing sarin gas in the Tokyo subway system, killing 13 and injuring thousands",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
