Photographer Name,URL of hyperlink,Text of hyperlink - English,Text of hyperlink - Japanese,Type of hyperlink
Shima Ryū,https://behindthecamerajapan.arts.ubc.ca/women-an d-portrait-photography-in-late-19th-and-early-20th-century-japan-19%e4%b8%96%e7%b4%80%e5%be%8c%e5%8d%8a%e3%81%8b%e3%82%8920%e4%b8%96%e7%b4%80%e5%88%9d%e9%a0%ad%e3%81%ae%e6%97%a5%e6%9c%ac/,Women and Portrait Photography in Late 19 th and Early 20th Century Japan,19世紀後半から 20世紀初頭の日本と女性、そしてポートレート写真,Behind the Camera
Hanawa Yoshino,https://behindthecamerajapan.arts.ubc.ca/women-an d-portrait-photography-in-late-19th-and-early-20th-century-japan-19%e4%b8%96%e7%b4%80%e5%be%8c%e5%8d%8a%e3%81%8b%e3%82%8920%e4%b8%96%e7%b4%80%e5%88%9d%e9%a0%ad%e3%81%ae%e6%97%a5%e6%9c%ac/,Women and Portrait Photography in Late 19 th and Early 20th Century Japan,19世紀後半から 20世紀初頭の日本と女性、そしてポートレート写真,Behind the Camera
Tokuriki Sakuko,https://behindthecamerajapan.arts.ubc.ca/women-an d-portrait-photography-in-late-19th-and-early-20th-century-japan-19%e4%b8%96%e7%b4%80%e5%be%8c%e5%8d%8a%e3%81%8b%e3%82%8920%e4%b8%96%e7%b4%80%e5%88%9d%e9%a0%ad%e3%81%ae%e6%97%a5%e6%9c%ac/,Women and Portrait Photography in Late 19 th and Early 20th Century Japan,19世紀後半から 20世紀初頭の日本と女性、そしてポートレート写真,Behind the Camera
Masumi Hayashi,https://www.masumimuseum.com/index.php,The Masumi Hayashi Museum,,External
Nagashima Yurie,https://behindthecamerajapan.arts.ubc.ca/wome n-and-portrait-photography-in-late-19th-and-early-20th-century-japan-19%e4%b8%96%e7%b4%80%e5%be%8c%e5%8d%8a%e3%81%8b%e3%82%8920%e4%b8%96%e7%b4%80%e5%88%9d%e9%a0%ad%e3%81%ae%e6%97%a5%e6%9c%ac/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Tokiwa Toyoko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Kiyomiya Yumiko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Yamazawa Eiko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Watanabe Hitomi,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Yoshida Ruiko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Ishiuchi Miyako,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Matsumoto Michiko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Ishikawa Mao,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Kon Michiko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Hiromix,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Yanagi Miwa,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Kawauchi Rinko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Sawada Tomoko,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Sugiura Kunie,https://behindthecamerajapan.arts.ubc.ca/postwar-ph otobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Ōtsuka Chino,https://behindthecamerajapan.arts.ubc.ca/postw ar-photobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Shiga Leiko,https://behindthecamerajapan.arts.ubc.ca/postw ar-photobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
Hara Mikiko,https://behindthecamerajapan.arts.ubc.ca/postw ar-photobooks-by-japanese-women/,Postwar Photobooks by Japanese Women,日本人女性によ る戦後写真集,Behind the Camera
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
