Name,Year,Event,Image,Image caption,Display Year (if different)
Shima Ryū,1855,Marries Shima Kakoku,,,
Shima Ryū,1864,"Creates the wet-plate collodion print, <i>Portrait of Shima Kakoku</i> , the earliest known photograph to be made by a Japanese woman",,,
Shima Ryū,1870,Opens a short-lived photo studio in Kiryū after Kakoku's death,,,
Yamazawa Eiko,1918,Earns a degree in <i>nihonga</i> (Japanese-style painting) from the Private Women's School of Fine Arts in Tokyo,,,
Yamazawa Eiko,1926,"Travels to the United States, studies at the California School of Fine Arts, and begins to work as Consuelo Kanaga's studio assistant in San Francisco",,,
Yamazawa Eiko,1931,Opens her first photographic portrait studio in Osaka,,,
Yamazawa Eiko,1945,Her studio is destroyed by an air raid,,,
Yamazawa Eiko,1946,Begins working as a studio photographer at the United States Army Post Exchange in Kyoto,,,
Yamazawa Eiko,1950,Founds the Yamazawa Photography Research Institute at the Hamachi Hospital Annex to educate young photographers,,,
Yamazawa Eiko,1952,Opens the Yamazawa Commercial Photography Studio at the Sogō Department Store in Osaka,,,
Yamazawa Eiko,1953,Publishes「探求」( <i>Quest</i> ),,,
Yamazawa Eiko,1955,"Visits Kanaga and stays for half a year in New York, where she meets Imogen Cunningham",,,
Yamazawa Eiko,1960,Closes the Yamazawa Commercial Photography Studio,,,
Yamazawa Eiko,1962,Publishes「遠近」( <i>Far and Near</i> ) (Miraisha),,,
Yamazawa Eiko,1965,Travels for half the year in Europe and the United States,,,
Yamazawa Eiko,1974,Travels to Mexico and the United States,,,
Yamazawa Eiko,1976,Publishes「私の原題」( <i>What I'm Doing</i> ),,,
Yamazawa Eiko,1977,Awarded the Photographic Society of Japan Distinguished Contributions Award,,,
Yamazawa Eiko,1980,Awarded the Kobe City Cultural Prize,,,
Yamazawa Eiko,1982,Publishes「私の原題―位置 方向」( <i>What I'm Doing: Positions and Directions</i> ),,,
Yamazawa Eiko,1983,Publishes「私は女流写真家」( <i>I Am a Woman Photographer</i> ) (Brain Center),,,
Yamazawa Eiko,1986,Publishes「私の原題３」( <i>What I'm Doing 3</i> ),,,
Yamazawa Eiko,1994,Holds solo retrospective exhibition「山沢英子展」( <i>Yamazawa Eiko Exhibition</i> ) at the Itami City Museum of Art (Itami),,,
Saeki Toshiko,1958,Begins taking photographs of birds with her child's camera,,,
Saeki Toshiko,1962,Publishes「庭にくる鳥―佐伯敏子写真集」( <i>Birds As Our Guests in the Garden: Saeki Toshiko Photobook</i> ) (Saeki kobun kenkyūjo),,,
Saeki Toshiko,1966,Publishes Volume 2 of「庭にくる鳥」( <i>Birds As Our Guests in the Garden</i> ) (Saeki kobun kenkyūjo),,,
Saeki Toshiko,1976,Publishes Volume 3 of「庭にくる鳥」( <i>Birds As Our Guests in the Garden</i> ) (Saeki kobun kenkyūjo),,,
Saiki Sachiko,1935,Earns a degree from the Oriental Photography School in Tokyo and begins working at the photo studio at the Sogō Department Store in Osaka,,,
Saiki Sachiko,1941,Awarded Honorable Mention for Photography in the Kokuten,,,
Saiki Sachiko,1946,Begins operating photo studios at the United States Army Post Exchanges in Kyoto and Ōtsu,,,
Saiki Sachiko,1958,"At the request of fashion designer Fujikawa Nobuko, she takes over photography for the magazine <i>Mode Techō</i> , published by Kyoto University of Art and Design",,,
Saiki Sachiko,1959,Opens the Saiki Sachiko Photo Studio in Kyoto,,,
