Name,Selected Bibliography,Primary
Shima Ryū,"Kinoshita Naoyuki, 「写真画論：写真と絵画の結婚」 ( <i>On the Photographic Image: The Marriage of Photography and Painting</i> ) (Tokyo: Iwanami Shoten, 1996).",
Shima Ryū,"「写真渡来の頃」 ( <i>The Advent of Photography in Japan</i> ) (Tokyo: Tokyo Metropolitan Museum of Photography; Hakodate: Hakodate Museum of Art, 1997).",
Shima Ryū,"Anne Wilkes Tucker, ed., et al., <i>The History of Japanese Photography</i> (New Haven: Yale University Press; Houston: Museum of Fine Arts, Houston, 2003).",
Hanawa Yoshino,"Murashima Ayaka,「メディアとしての演劇写真事始 : 塙芳野の時代」 (The Origins of Theater Photography as Media: Hanawa Yoshino's Era), <i>Bungaku kenkyū ronshū</i> 38 (2012): 181-200.",
Tokuriki Sakuko,"Tokuriki Sakuko,「婦人写真氏の実歴」( <i>True Story of a Woman Photographer</i> ), <i>Fujin sekai</i> 2:14 (1907): 30-33.",
Yamazawa Eiko,"「山沢英子展」( <i>Yamazawa Eiko Exhibition</i> ) (Itami: Itami City Museum of Art, 1994).",
Yamazawa Eiko,"<i>Japanese Women Artists Before and After World War II, 1930s-1950s</i> (Utsunomiya: Tochigi Prefectural Museum of Fine Arts, 2001).",
Yamazawa Eiko,"Ikegami Tsukasa and Suzuki Yoshiko,「山沢英子：私の原題」( <i>Eiko Yamazawa: What I Am Doing</i> ) (Kyoto: Akaaka Art Publishing, 2019).",Yes
Saiki Sachiko,"「斎木幸子：旅の写真と思い出」( <i>Saiki Sachiko: Photographs and Recollections of Her Travels</i> ) (Kyoto: Uchida Tatsuko, 1985).",Yes
Sasamoto Tsuneko,"Sasamoto Tsuneko,「恒子の昭和：日本初の女性報道写真家が撮影した人と出来事」( <i>Tsuneko's Shōwa: The People and Events Captured by Japan's First Female Photojournalist</i> ) (Tokyo: Shogakukan, 2012).",
Sasamoto Tsuneko,"Sasamoto Tsuneko,「100歳のファインダー：日本初の女性報道写真家笹本恒子」( <i>100-Year-Old Finder: Japan's First Female Photojournalist Sasamoto Tsuneko</i> ) (Tokyo: Tokyo shimbun shuppankyoku, 2014).",
Matsuyama Tazuko,"「松山たづ子：全て写真になる日まで」( <i>Matsuyama Tazuko: Until the Day When All the Photographs are Taken</i> ) (Izu: Izu Photo Museum, 2014).",
Kiyooka Sumiko,"Maenaka Kōshi, Interview with Kiyooka Sumiko, 「清岡賞は百万円です」(The Kiyooka Prize is 1,000,000 Yen), <i>Shashin jidai</i> (October 1982).",
Okanoue Toshiko,"Okanoue Toshiko, 「私とコラージュ」(The Collage and I), <i>Tsukue</i> (April 1953).",
Okanoue Toshiko,"Takiguchi Shūzō, 「岡上淑子のコラージュについて」( <i>Okanoue Toshiko's Collages</i> ), <i>Camera</i> (March 1956).",
Okanoue Toshiko,"<i>Okanoue Toshiko Photo-Collage: Droplets of Dreams</i> , Exhibition pamphlet in Japanese and English (Tokyo: Dai-ichi Mutual Life Insurance South Gallery, 2000).",
Tokiwa Toyoko,"「女性作家とリアリイズム」( <i>Women Artists and Realism</i> ), <i>Photo Art</i> (April 1955).",
Tokiwa Toyoko,"Tokiwa Toyoko,「危險な毒花」( <i>Dangerous Poison Flowers</i> ) (Tokyo: Mikasa shobō, 1957).",
Tokiwa Toyoko,"Kelly McCormick, “Tokiwa Toyoko, The Nude Shooting Session, and the Gendered Optics of Japanese Postwar Photography,” <i>Japan Forum</i> (September 2021).",
Imai Hisae,"サラブレート賛歌：今井寿恵作品集 ( <i>Celebratory Hymn: The Collected Works of Imai Hisae</i> ) (Tokyo: Genkōsha, 1987).",
Yoshida Ruiko,"Ogawa Nobuko, フォトジャーナリスト吉田ルイ子 ( <i>Photojournalist Yoshida Ruiko</i> ) (Tokyo: Rironsha, 1998).",
Yoshida Ruiko,"Peter Duus and Kenji Hasegawa, eds. <i>Rediscovering America: Japanese Perspectives on the American Century</i> (Berkeley: University of California Press, 2011).",
Ushioda Tokuko,"Russet Lederman and Olga Yatskevich, eds. <i>What They Saw: Historical Photobooks by Women</i> , 1843-1999 (New York: 10x10 Photobooks, Inc., 2021).",
Ushioda Tokuko,"Miyuki Hinton, <i>From Student to Master: Tokuko Ushioda and Her Teachers</i> , Online catalogue (New York: Alison Bradley Projects, 2022).",
Watanabe Hitomi,"東大全共闘 : われわれにとって東大闘争とは何か ( <i>Tōdai Zenkyōtō: What the Tokyo University Conflict Is for Us</i> ) (San-ichi Publishing Co., 1969)",
Watanabe Hitomi,"日本写真の1968 ( <i>1968 in Japanese Photography</i> ) (Tokyo: Tokyo Metropolitan Museum of Photography, 2013).",
Watanabe Hitomi,"Tsuyoshi Ito, ""Behind the Barricades,"" Interview with Watanabe Hitomi, Aperture online (March 22, 2017).",
Sugiura Kunie,"Holland Cotter, ""New Photography 13,"" The New York Times (November 7, 1997).",
Sugiura Kunie,"Eric C. Shiner and Reiko Tomii, <i>Making a Home: Japanese Contemporary Artists in New York</i> (New York: Japan Society, 2007).",
Sugiura Kunie,"Suzuki Yoshiko, ed. 杉浦邦恵：うつくしい実験 / ニューヨークとの50年 ( <i>Sugiura Kunie: Aspiring Experiments / New York in 50 Years</i> ) (Tokyo: Tokyo Photographic Art Museum, 2018).",Yes
Ōishi Yoshino,"隠岐の国：大石芳野作品展 ( <i>The Land of Oki: Work by Ōishi Yoshino</i> ) (Tokyo: JCII Photo Salon, 2011).",
Ōishi Yoshino,"瞳の奥に : 戦争がある : 大石芳野写真展 ( <i>War Within the Eyes: Ōishi Yoshino Photography Exhibition</i> ) (Musashino City Kichijoji Art Museum, 2021).",
Furui Mizue,"Satō Tadao, シリーズ日本のドキュメンタリー 3 (生活・文化編) ( <i>Series Japan Documentary 3</i> ) (Tokyo: Iwanami shoten, 2010).",
Furui Mizue,"Fujimoto Takayuki and Kaneko Yū, eds. 映画で旅するイスラーム : 知られざる世界へ ( <i>Islam Travel Through Movies: To an Unknown World</i> ) (Tokyo: Ronsōsha, 2018).",
Takagi Yuriko,<i>Nus Intimes</i> (Japan: Yobisha 1994),
