Name,Selected Bibliography
Shima Ryū,"Kinoshita Naoyuki, 写真画論：写真と絵画の結婚<i> </i>(On the Photographic Image: The Marriage of Photography and Painting) (Tokyo: Iwanami Shoten, 1996)."
Shima Ryū,"写真渡来の頃<i> </i>(The Advent of Photography in Japan) (Tokyo: Tokyo Metropolitan Museum of Photography; Hakodate: Hakodate Museum of Art, 1997)."
Shima Ryū,"Anne Wilkes Tucker, ed., et al., <i>The History of Japanese Photography</i> (New Haven: Yale University Press; Houston: Museum of Fine Arts, Houston, 2003)."
Hanawa Yoshino,"Murashima Ayaka,「メディアとしての演劇写真事始 : 塙芳野の時代」 (The Origins of Theater Photography as Media: Hanawa Yoshino's Era), Bungaku kenkyū ronshū 38 (2012): 181-200."
Tokuriki Sakuko,"Tokuriki Sakuko,「婦人写真氏の実歴」(True Story of a Woman Photographer), Fujin sekai 2:14 (1907): 30-33."
Yamazawa Eiko,"山沢英子展 (Yamazawa Eiko Exhibition) (Itami: Itami City Museum of Art, 1994)."
Yamazawa Eiko,"<i>Japanese Women Artists Before and After World War II, 1930s-1950s </i>(Utsunomiya: Tochigi Prefectural Museum of Fine Arts, 2001)."
Yamazawa Eiko,"Ikegami Tsukasa and Suzuki Yoshiko, 山沢英子：私の原題 (Eiko Yamazawa: What I Am Doing) (Kyoto: Akaaka Art Publishing, 2019)."
Saeki Toshiko,
Saiki Sachiko,"斎木幸子：旅の写真と思い出 (Saiki Sachiko: Photographs and Recollections of Her Travels) (Kyoto: Uchida Tatsuko, 1985)."
Sasamoto Tsuneko,"Sasamoto Tsuneko, 恒子の昭和：日本初の女性報道写真家が撮影した人と出来事 (Tsuneko's Shōwa: The People and Events Captured by Japan's First Female Photojournalist) (Tokyo: Shogakukan, 2012)."
Sasamoto Tsuneko,"Sasamoto Tsuneko, 100歳のファインダー：日本初の女性報道写真家笹本恒子 (100-Year-Old Finder: Japan's First Female Photojournalist Sasamoto Tsuneko) (Tokyo: Tokyo shimbun shuppankyoku, 2014)."
Matsuyama Tazuko,"松山たづ子：全て写真になる日まで (Matsuyama Tazuko: Until the Day When All the Photographs are Taken) (Izu: Izu Photo Museum, 2014)."
Kiyooka Sumiko,"Maenaka Kōshi, Interview with Kiyooka Sumiko, 「清岡賞は百万円です」(The Kiyooka Prize is 1,000,000 Yen), Shashin jidai (October 1982)."
Okanoue Toshiko,"Okanoue Toshiko, 「私とコラージュ」(The Collage and I), Tsukue (April 1953)."
Okanoue Toshiko,"Takiguchi Shūzō, 「岡上淑子のコラージュについて」(Okanoue Toshiko's Collages), Camera (March 1956)."
Okanoue Toshiko,"Okanoue Toshiko Photo-Collage: Droplets of Dreams, Exhibition pamphlet in Japanese and English (Tokyo: Dai-ichi Mutual Life Insurance South Gallery, 2000)."
Tokiwa Toyoko,"「女性作家とリアリイズム」(Women Artists and Realism), Photo Art (April 1955)."
Tokiwa Toyoko,"危險な毒花 (Dangerous Poison Flowers) (Tokyo: 三笠書房, 1957)"
Tokiwa Toyoko,"Kelly McCormick, “Tokiwa Toyoko, The Nude Shooting Session, and the Gendered Optics of Japanese Postwar Photography,” Japan Forum (September 2021)."
Imai Hisae,"サラブレート賛歌：今井寿恵作品集 (Celebratory Hymn: The Collected Works of Imai Hisae) (Tokyo: Genkōsha, 1987)."
Yoshida Ruiko,"Ogawa Nobuko, フォトジャーナリスト吉田ルイ子 (Photojournalist Yoshida Ruiko) (Tokyo: Rironsha, 1998)."
Yoshida Ruiko,"Peter Duus and Kenji Hasegawa, eds. Rediscovering America: Japanese Perspectives on the American Century (Berkeley: University of California Press, 2011)."
Ushioda Tokuko,"Russet Lederman and Olga Yatskevich, eds. What They Saw: Historical Photobooks by Women, 1843-1999 (New York: 10x10 Photobooks, Inc., 2021)."
Ushioda Tokuko,"Miyuki Hinton, From Student to Master: Tokuko Ushioda and Her Teachers, Online catalogue (New York: Alison Bradley Projects, 2022)."
Watanabe Hitomi,"東大全共闘 : われわれにとって東大闘争とは何か (Tōdai Zenkyōtō: What the Tokyo University Conflict Is for Us) (San-ichi Publishing Co., 1969)"
Watanabe Hitomi,"日本写真の1968 (1968 in Japanese Photography) (Tokyo: Tokyo Metropolitan Museum of Photography, 2013)."
Watanabe Hitomi,"Tsuyoshi Ito, ""Behind the Barricades,"" Interview with Watanabe Hitomi, Aperture online (March 22, 2017)."
Sugiura Kunie,"Holland Cotter, ""New Photography 13,"" The New York Times (November 7, 1997)."
Sugiura Kunie,"Eric C. Shiner and Reiko Tomii, Making a Home: Japanese Contemporary Artists in New York (New York: Japan Society, 2007)."
Sugiura Kunie,"Suzuki Yoshiko, ed. 杉浦邦恵：うつくしい実験 / ニューヨークとの50年 (Sugiura Kunie: Aspiring Experiments / New York in 50 Years) (Tokyo: Tokyo Photographic Art Museum, 2018)."
Ōishi Yoshino,"隠岐の国：大石芳野作品展 (The Land of Oki: Work by Ōishi Yoshino) (Tokyo: JCII Photo Salon, 2011)."
Ōishi Yoshino,"瞳の奥に : 戦争がある : 大石芳野写真展 (War Within the Eyes: Ōishi Yoshino Photography Exhibition) (Musashino City Kichijoji Art Museum, 2021)."
Furui Mizue,"Satō Tadao, シリーズ日本のドキュメンタリー 3 (生活・文化編) (Series Japan Documentary 3) (Tokyo: Iwanami shoten, 2010)."
Furui Mizue,"Fujimoto Takayuki and Kaneko Yū, eds. 映画で旅するイスラーム : 知られざる世界へ (Islam Travel Through Movies: To an Unknown World) (Tokyo: Ronsōsha, 2018)."
Takagi Yuriko,Nus Intimes (Japan: Yobisha 1994)
Takagi Yuriko,"Confused Gravitation (Tokyo: Bijutsu shuppansha, 1994)"
Takagi Yuriko,"Skin : Yuriko Takagi×Kozue Hibino (Fusosha, 1998)"
Ishikawa Mao,"熱き日々inキャンプハンセン‼︎ (≈ Hot Days in Camp Hansen‼︎) (Okinawa: Aman, 1982)."
Ishikawa Mao,"日の丸を観る目 (Here’s What the Japanese Flag Means to Me) (Tokyo: Miraisha, 2011)."
Ishikawa Mao,"Zohar, Ayelet. ""Okinawa/Philadelphia/Tokyo: The Specificity and Complexity of Mao Ishikawa's Photographic Work,"" <i>Trans-Asia Photography Review Women's Camera Work: Asia</i> 2:2 (Spring): 2012."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Kawauchi Rinko,"Kawauchi Rinko, ""Rinko Kawauchi contemplates the small mysteries of life,"" SFMOMA, https://www.sfmoma.org/watch/rinko-kawauchi-contemplates-small-mysteries-life/."
Kawauchi Rinko,"""Kawauchi Rinko Jimusho Shashinka Kawauchi Rinko,"" Yomiuri Jinbutsu Databse, Jul. 5, 2019."
Kawauchi Rinko,"""Shashinka Kawauchi Rinko,"" Asahi Shimbun Jinbutsu Database, Jun. 22, 2018."
Kawauchi Rinko,"""Shashinka Kawauchi Rinko,"" Asahi Shimbun Jinbutsu Database, Jun. 22, 2018."
Kawauchi Rinko,
Nagashima Yurie,"An Incomplete History: Women Photographers from Japan, 1984-1997 (exh. cat.) (NY Visual Studies Workshop, 1998."
Nagashima Yurie,"Nagashima Yurie. “Jibun no kachi o shinjiru  shashinka Nagashima Yurie.” Nihon Keizai    Shimbun, January 16, 2020."
Nagashima Yurie,"Rossella Menegazzo, ""Japanese Contemporary Photography: Re-discovering Female Identity."" Women's Studies 43, no. 8 (2014): 1022-1038, https://doi.org/10.1080/00497878.2014.955703."
Nagashima Yurie,"“Bokura” no “onna no ko shashin” kara watashi no gaariifoto he (From “their"" “Girls Photography” to “our"" ""girlie photography”) (Tokyo: Daifuku shorin, 2020.)"
Hiromix,"Gabriella Lukács, ""Disidenfitications: Women, Photography, and Everyday Patriarchy,""    in Invisibility by Design: Women and Labor in Japan's Digital Economy. Durham; London: Duke University Press, 2020."
Hiromix,
Sawada Tomoko,"Rossella Menegazzo, ""Japanese Contemporary Photography: Re-discovering Female Identity."" Women's Studies 43, no. 8 (2014): 1022-1038, https://doi.org/10.1080/00497878.2014.955703."
Sawada Tomoko,"Sawada Tomoko, ""Tomoko Sawada's self-portraits create familiar characters,"" SFMOMA,     https://www.sfmoma.org/watch/tomoko-sawadas-self-portraits-create-familiar-characters/."
Sawada Tomoko,"""Shashinka/ātisuto Seianzōkei daigaku kyakuin kyōju Sawada Tomoko.""    Asahi Shinbun Jinbutsu Database, Oct. 9, 2018."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
